,Site,date_yearmon,Day,Month,Year,Arsenic..water..filtered..micrograms.per.liter,Arsenic..water..unfiltered..micrograms.per.liter,Cadmium..water..filtered..micrograms.per.liter,Cadmium..water..unfiltered..micrograms.per.liter,Copper..water..filtered..micrograms.per.liter,Copper..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..filtered..micrograms.per.liter,Lead..water..filtered..micrograms.per.liter,Lead..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..filtered..micrograms.per.liter,Zinc..water..filtered..micrograms.per.liter,Zinc..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..filtered..micrograms.per.liter
152,DL,Jun-12,16,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,DL,Jun-12,16,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,DL,Jun-12,17,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,DL,Jun-12,17,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,DL,Jun-12,18,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,DL,Jun-12,18,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,DL,Jun-12,19,7,2012,10.3,12.4,0.062,0.128,6.4,27.1,440,24.8,0.154,3.28,55.8,19.3,5,21.6,NA,NA
159,DL,Jun-12,19,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,DL,Jun-12,19,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,DL,Jun-12,19,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,DL,Jun-12,19,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,DL,Jun-12,20,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
